"label";"weight";"tagType";"tagDisplay";"country";"language";"count"
"aides";"10";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"3"
"art";"20";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"3"
"initiation à la culture";"30";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"23"
"musique";"40";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"4"
"numérique";"50";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"15"
"patrimoine & histoire";"60";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"3"
"spectacles";"70";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"1"
"télé";"80";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"1"
