"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"Ausbildung";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"20";"Inkubation und Entwicklung";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"30";"Finanzierung";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"40";"international";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"50";"open data";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"60";"Attraktivität";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"70";"Forschung und Innovation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
"80";"Vorrichtungskoordination";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"DE";"de"
